epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.667,0.88861,2.88024,1.28987,0.59566,0.40424,0.4247,0.31414,0.89543,1.90857,1.26393,0.00332899,0.00332899,0.00332899
2,692.115,0.99835,2.26647,1.35626,0.50346,0.33363,0.32384,0.21719,1.13718,2.42135,1.50733,0.0065524,0.0065524,0.0065524
3,995.951,1.13148,2.35461,1.46233,0.45146,0.26079,0.23055,0.13807,1.42181,2.95781,1.8068,0.0096658,0.0096658,0.0096658
4,1299.82,1.23222,2.42722,1.54374,0.48726,0.29728,0.30997,0.20101,1.28836,2.21798,1.65024,0.009505,0.009505,0.009505
5,1599.08,1.16496,2.21436,1.50144,0.42253,0.36507,0.3525,0.2463,1.17672,2.05745,1.54555,0.00934,0.00934,0.00934
6,1897.58,1.11142,2.05536,1.46111,0.44781,0.36814,0.37824,0.26796,1.14236,1.95926,1.49535,0.009175,0.009175,0.009175
7,2196.36,1.07569,1.95507,1.42976,0.58673,0.40858,0.43227,0.31271,1.07735,1.82187,1.44284,0.00901,0.00901,0.00901
8,2494.69,1.04671,1.87166,1.40412,0.57965,0.39844,0.45242,0.33206,1.02054,1.71356,1.37925,0.008845,0.008845,0.008845
9,2793.57,1.01167,1.79705,1.38169,0.56417,0.44257,0.48606,0.36206,0.99444,1.62913,1.3491,0.00868,0.00868,0.00868
10,3089.19,0.99542,1.76611,1.36993,0.60738,0.41939,0.47458,0.35556,0.97444,1.6122,1.33381,0.008515,0.008515,0.008515
11,3384.15,0.98001,1.71028,1.35584,0.59605,0.44794,0.50839,0.38702,0.93405,1.5509,1.30761,0.00835,0.00835,0.00835
12,3677.72,0.96124,1.65277,1.34141,0.59292,0.45205,0.51373,0.39474,0.92817,1.54137,1.30543,0.008185,0.008185,0.008185
13,3972.78,0.94052,1.61842,1.32727,0.57849,0.49678,0.53922,0.41721,0.914,1.46047,1.28711,0.00802,0.00802,0.00802
14,4264.72,0.92863,1.5837,1.32092,0.5922,0.48976,0.54985,0.42675,0.8864,1.40892,1.25923,0.007855,0.007855,0.007855
15,4555.22,0.916,1.57235,1.30822,0.61316,0.50314,0.55085,0.42791,0.8645,1.38419,1.24291,0.00769,0.00769,0.00769
16,4847.95,0.90416,1.52596,1.29941,0.61228,0.51401,0.56466,0.44379,0.84378,1.34906,1.22746,0.007525,0.007525,0.007525
17,5141.31,0.89441,1.50542,1.28853,0.62222,0.51322,0.56788,0.44544,0.83604,1.33585,1.21427,0.00736,0.00736,0.00736
18,5433.48,0.88283,1.47563,1.28256,0.62586,0.52358,0.5871,0.46621,0.82059,1.31495,1.20374,0.007195,0.007195,0.007195
19,5727.36,0.87584,1.46538,1.27924,0.62125,0.54951,0.59503,0.47242,0.80334,1.26942,1.18961,0.00703,0.00703,0.00703
20,6020.27,0.86915,1.44438,1.27519,0.66329,0.50237,0.59228,0.47568,0.78999,1.25128,1.1849,0.006865,0.006865,0.006865
21,6311.22,0.85823,1.41893,1.26427,0.6341,0.54372,0.59772,0.48027,0.7893,1.23828,1.17864,0.0067,0.0067,0.0067
22,6602.01,0.85021,1.40305,1.26219,0.69,0.53499,0.61596,0.49451,0.77679,1.21228,1.17182,0.006535,0.006535,0.006535
23,6891.01,0.84077,1.38292,1.2556,0.64594,0.55271,0.60689,0.48862,0.77097,1.20665,1.16387,0.00637,0.00637,0.00637
24,7181.27,0.83877,1.36299,1.25346,0.64531,0.57238,0.61881,0.50075,0.75787,1.17545,1.15123,0.006205,0.006205,0.006205
25,7471.2,0.82671,1.34037,1.24071,0.67511,0.56684,0.63367,0.51724,0.74177,1.14961,1.14206,0.00604,0.00604,0.00604
26,7760.63,0.82174,1.32791,1.23573,0.66057,0.56368,0.62666,0.51254,0.73578,1.16021,1.13495,0.005875,0.005875,0.005875
27,8052.9,0.81284,1.32357,1.23363,0.66449,0.57495,0.63896,0.52161,0.73259,1.12904,1.13001,0.00571,0.00571,0.00571
28,8343.49,0.81357,1.30902,1.23387,0.66856,0.58418,0.65074,0.53229,0.72274,1.11226,1.12137,0.005545,0.005545,0.005545
29,8637.62,0.80262,1.28619,1.2224,0.67682,0.5811,0.65103,0.53483,0.7142,1.11106,1.11527,0.00538,0.00538,0.00538
30,8928.42,0.80066,1.27917,1.22519,0.68079,0.57806,0.65369,0.53794,0.71229,1.09846,1.11444,0.005215,0.005215,0.005215
31,9221.5,0.79013,1.25899,1.21348,0.69487,0.57783,0.6611,0.54537,0.70606,1.07723,1.10883,0.00505,0.00505,0.00505
32,9514.24,0.78296,1.24205,1.20985,0.66842,0.61242,0.66948,0.5541,0.69304,1.0586,1.09985,0.004885,0.004885,0.004885
33,9808.71,0.77971,1.23557,1.21043,0.71145,0.58864,0.66924,0.55591,0.69232,1.05765,1.101,0.00472,0.00472,0.00472
34,10101,0.76924,1.2192,1.20283,0.70151,0.5957,0.67444,0.55818,0.68834,1.05008,1.09289,0.004555,0.004555,0.004555
35,10393.5,0.76619,1.20582,1.20249,0.70474,0.6019,0.67946,0.56513,0.68719,1.0358,1.09536,0.00439,0.00439,0.00439
36,10691.8,0.7649,1.19819,1.19614,0.70284,0.61397,0.68441,0.57102,0.66797,1.02449,1.07885,0.004225,0.004225,0.004225
37,10988.9,0.75899,1.19247,1.19383,0.7117,0.6157,0.68912,0.57473,0.67073,1.01181,1.08201,0.00406,0.00406,0.00406
38,11278.9,0.74531,1.16718,1.18459,0.71416,0.61765,0.68978,0.57667,0.66438,1.01957,1.07728,0.003895,0.003895,0.003895
39,11570,0.74306,1.16175,1.18141,0.71031,0.61371,0.69142,0.57967,0.66044,1.00186,1.07334,0.00373,0.00373,0.00373
40,11862.4,0.74323,1.15257,1.183,0.72261,0.61017,0.69046,0.58226,0.65235,0.99228,1.06807,0.003565,0.003565,0.003565
41,12159.2,0.73315,1.13265,1.17481,0.73314,0.61678,0.70025,0.59068,0.6496,0.99036,1.06499,0.0034,0.0034,0.0034
42,12454.9,0.72471,1.11889,1.16984,0.73564,0.61827,0.69974,0.5896,0.64633,0.98588,1.06324,0.003235,0.003235,0.003235
43,12747.9,0.72541,1.11559,1.17205,0.74367,0.61587,0.70509,0.59461,0.64302,0.97498,1.06,0.00307,0.00307,0.00307
44,13042.7,0.71777,1.10497,1.16751,0.74946,0.61453,0.70708,0.5971,0.64062,0.97173,1.05931,0.002905,0.002905,0.002905
45,13335.3,0.71296,1.09107,1.16245,0.73474,0.62616,0.70971,0.6017,0.63406,0.95834,1.05294,0.00274,0.00274,0.00274
46,13626.9,0.70748,1.08448,1.15993,0.74126,0.63093,0.71376,0.60425,0.62883,0.95418,1.05124,0.002575,0.002575,0.002575
47,13920.3,0.69785,1.0627,1.15269,0.73687,0.63638,0.71379,0.60546,0.62697,0.94927,1.05006,0.00241,0.00241,0.00241
48,14215.7,0.69529,1.0504,1.15044,0.72307,0.64405,0.71495,0.60644,0.62717,0.94569,1.05022,0.002245,0.002245,0.002245
49,14510.3,0.69534,1.04633,1.15173,0.72095,0.65127,0.71761,0.6087,0.6252,0.94448,1.04772,0.00208,0.00208,0.00208
50,14804.2,0.69192,1.04409,1.14937,0.72972,0.64968,0.72036,0.61171,0.62112,0.93518,1.04418,0.001915,0.001915,0.001915
51,15097.3,0.62241,0.91604,1.11729,0.74712,0.63389,0.72094,0.61376,0.6162,0.93252,1.03943,0.00175,0.00175,0.00175
52,15386,0.60548,0.87589,1.09994,0.7453,0.64221,0.72396,0.61619,0.61022,0.92694,1.03525,0.001585,0.001585,0.001585
53,15669.7,0.59752,0.85767,1.09169,0.7282,0.65403,0.72456,0.61568,0.60995,0.92435,1.03328,0.00142,0.00142,0.00142
54,15952.7,0.58812,0.83471,1.08642,0.74213,0.65195,0.7264,0.61791,0.60617,0.91879,1.03016,0.001255,0.001255,0.001255
55,16237.2,0.57934,0.82235,1.08044,0.74528,0.652,0.72831,0.62035,0.60604,0.9132,1.03005,0.00109,0.00109,0.00109
56,16524.5,0.57418,0.80338,1.07772,0.75608,0.65,0.73072,0.62317,0.60463,0.90644,1.02949,0.000925,0.000925,0.000925
57,16808.2,0.56505,0.78134,1.06796,0.74334,0.65748,0.73111,0.62439,0.60322,0.90501,1.02746,0.00076,0.00076,0.00076
58,17093.2,0.559,0.77212,1.06828,0.74907,0.6555,0.73249,0.62612,0.60056,0.90314,1.02458,0.000595,0.000595,0.000595
59,17377,0.55017,0.75764,1.05635,0.75945,0.64821,0.7333,0.62699,0.59889,0.90316,1.02268,0.00043,0.00043,0.00043
60,17660.7,0.54565,0.75689,1.05509,0.74949,0.65435,0.73446,0.62864,0.59764,0.90161,1.02159,0.000265,0.000265,0.000265
